userId,name,email
1,Leanne Graham,leanne.graham@example.com
2,Ervin Howell,ervin.howell@example.com
3,Clementine Bauch,clementine.bauch@example.com
4,Patricia Lebsack,patricia.lebsack@example.com
5,Chelsey Dietrich,chelsey.dietrich@example.com
6,Mrs. Dennis Schulist,dennis.schulist@example.com
7,Kurtis Weissnat,kurtis.weissnat@example.com
8,Nicholas Runolfsdottir,nicholas.runolfsdottir@example.com
9,Glenna Reichert,glenna.reichert@example.com
10,Clementina DuBuque,clementina.dubuque@example.com
11,Lucas Martin,lucas.martin@example.com
12,Emma Bernard,emma.bernard@example.com
13,Hugo Petit,hugo.petit@example.com
14,Chloé Robert,chloe.robert@example.com
15,Mathis Dubois,mathis.dubois@example.com
16,Lina Moreau,lina.moreau@example.com
17,Noah Laurent,noah.laurent@example.com
18,Inès Fournier,ines.fournier@example.com
19,Gabriel Simon,gabriel.simon@example.com
20,Jade Michel,jade.michel@example.com
